timestamp,cpu_usage_latest,memory_usage_gb_latest,disk_read_bytes,disk_write_bytes,network_rx_bytes,network_tx_bytes
11:12:09,0,0.00748443603515625,0,0,90,90
11:12:10,0,0.00748443603515625,0,0,90,90
11:12:11,16,0.008026123046875,0,4096,728,446
11:12:12,0,0.008026123046875,0,4096,964,696
11:12:13,0,0.008026123046875,0,4096,964,696
11:12:14,0,0.008026123046875,0,4096,964,696
11:12:15,0,0.008026123046875,0,16384,1034,766
11:12:16,0,0.008026123046875,0,16384,1034,766
11:12:17,0,0.008026123046875,0,16384,1034,766
11:12:18,0,0.008026123046875,0,16384,1034,766
11:12:19,0,0.008026123046875,0,16384,1034,766
11:12:20,0,0.008026123046875,0,16384,1034,766
11:12:21,0,0.008026123046875,0,16384,1034,766
11:12:22,0,0.008026123046875,0,16384,1034,836
11:12:23,0,0.008026123046875,0,16384,1104,836
11:12:24,0,0.008026123046875,0,16384,1104,836
11:12:25,0,0.008026123046875,0,16384,1104,836
11:12:26,0,0.008026123046875,0,16384,1104,836
11:12:27,0,0.008026123046875,0,16384,1104,836
11:12:28,0,0.008026123046875,0,16384,1104,836
11:12:29,0,0.008026123046875,0,16384,1104,836
11:12:30,0,0.008026123046875,0,16384,1104,836
11:12:31,0,0.008026123046875,0,16384,1104,836
11:12:32,0,0.008026123046875,0,16384,1104,836
11:12:33,0,0.008026123046875,0,16384,1104,836
11:12:34,0,0.008026123046875,0,16384,1104,836
11:12:35,0,0.008026123046875,0,16384,1190,836
11:12:36,0,0.008026123046875,0,16384,1190,906
11:12:38,0,0.008026123046875,0,16384,1190,906
11:12:39,0,0.008026123046875,0,16384,1190,906
11:12:49,58,0.054454803466796875,0,16384,1932154,2026368
11:12:50,28,0.053546905517578125,0,16384,1971788,2049442
11:12:51,28,0.053546905517578125,0,16384,1971788,2049442
11:12:52,0,0.053546905517578125,0,16384,1971788,2049442
11:12:53,0,0.053546905517578125,0,16384,1971788,2049442
11:12:54,0,0.053546905517578125,0,16384,1971788,2049442
11:12:55,0,0.053546905517578125,0,16384,1971788,2049442
11:12:56,0,0.053546905517578125,0,16384,1971788,2049442
11:12:57,0,0.053546905517578125,0,16384,1971788,2049442
11:12:58,0,0.053546905517578125,0,16384,1971788,2049442
11:12:59,0,0.053546905517578125,0,16384,1971788,2049442
11:13:00,0,0.053546905517578125,0,16384,1971788,2049442
11:13:01,24,0.014068603515625,0,16384,1971874,2049442
11:13:02,24,0.014068603515625,0,16384,1971874,2049442
11:13:03,11,0.0138092041015625,0,16384,1971874,2049442
11:13:04,11,0.0138092041015625,0,16384,1971874,2049442
11:13:05,0,0.0138092041015625,0,16384,1971874,2049442
11:13:06,0,0.0138092041015625,0,16384,1971874,2049442
11:13:07,0,0.0138092041015625,0,16384,1971874,2049442
11:13:08,0,0.0138092041015625,0,16384,1971874,2049442
11:13:09,0,0.0138092041015625,0,16384,1971874,2049442
11:13:10,0,0.0138092041015625,0,16384,1971874,2049442
11:13:11,0,0.0138092041015625,0,16384,1971874,2049512
11:13:12,0,0.0138092041015625,0,16384,1971874,2049512
11:13:13,0,0.0138092041015625,0,16384,1971874,2049512
11:13:14,0,0.0138092041015625,0,16384,1971874,2049512
11:13:15,0,0.0138092041015625,0,16384,1971874,2049512
11:13:16,0,0.0138092041015625,0,16384,1971874,2049512
11:13:17,0,0.0138092041015625,0,16384,1971874,2049512
11:13:18,0,0.0138092041015625,0,16384,1971944,2049512
11:13:19,0,0.0138092041015625,0,16384,1971944,2049512
11:13:20,0,0.0138092041015625,0,16384,1971944,2049512
11:13:21,0,0.0138092041015625,0,16384,1971944,2049512
11:13:22,0,0.0138092041015625,0,16384,1971944,2049512
11:13:23,0,0.0138092041015625,0,16384,1971944,2049512
11:13:24,0,0.0138092041015625,0,16384,1971944,2049512
11:13:25,0,0.0138092041015625,0,16384,1971944,2049512
11:13:26,0,0.0138092041015625,0,16384,1971944,2049512
11:13:27,0,0.0138092041015625,0,16384,1971944,2049512
11:13:28,0,0.0138092041015625,0,16384,1971944,2049512
11:13:29,0,0.0138092041015625,0,16384,1971944,2049512
11:13:30,0,0.0138092041015625,0,16384,1971944,2049512
11:13:31,0,0.0138092041015625,0,16384,1971944,2049512
11:13:32,0,0.0138092041015625,0,16384,1972030,2049512
11:13:33,0,0.0138092041015625,0,16384,1972030,2049512
11:13:34,0,0.0138092041015625,0,16384,1972030,2049512
11:13:35,0,0.0138092041015625,0,16384,1972030,2049512
11:13:36,0,0.0138092041015625,0,16384,1972030,2049512
11:13:37,0,0.0138092041015625,0,16384,1972030,2049512
11:13:38,0,0.0138092041015625,0,16384,1972030,2049512
