timestamp,cpu_usage_latest,memory_usage_gb_latest,disk_read_bytes,disk_write_bytes,network_rx_bytes,network_tx_bytes
12:45:58,921,0.320068359375,0,1449984,788,606
12:45:59,1085,0.37810516357421875,0,86650880,858,676
12:46:00,1085,0.37810516357421875,0,86650880,858,676
12:46:01,1177,0.6446990966796875,0,86650880,858,676
12:46:02,2122,0.7496376037597656,0,86650880,858,676
12:46:03,2122,0.7496376037597656,0,86650880,858,676
12:46:04,3028,0.8021926879882812,0,193425408,858,676
12:46:05,2858,0.8021812438964844,0,476344320,858,676
12:46:06,2858,0.8021812438964844,0,476344320,858,676
12:46:07,2678,1.0138282775878906,0,476344320,858,746
12:46:08,2296,1.2715530395507812,0,476344320,928,746
12:46:09,2296,1.2715530395507812,0,476344320,928,746
12:46:10,3359,1.3587913513183594,0,476344320,928,746
12:46:11,3359,1.3587913513183594,0,476344320,928,746
12:46:12,3597,1.5463027954101562,0,476344320,928,746
12:46:13,3488,1.6304664611816406,0,476344320,928,746
12:46:14,3488,1.6304664611816406,0,476344320,928,746
12:46:15,3410,1.7070121765136719,0,476344320,928,746
12:46:16,3409,1.7805366516113281,0,476344320,928,746
12:46:17,3409,1.7805366516113281,0,476344320,928,746
12:46:18,3431,1.8857078552246094,0,476344320,928,746
12:46:19,3447,1.9460525512695312,0,476344320,928,746
12:46:20,3447,1.9460525512695312,0,476344320,928,746
12:46:21,3438,1.9736442565917969,0,476344320,928,816
12:46:22,3438,1.9736442565917969,0,476344320,928,816
12:46:23,3450,2.030242919921875,0,476344320,998,816
12:46:24,3682,2.1053810119628906,0,476344320,1084,816
12:46:25,3682,2.1053810119628906,0,476344320,1084,816
12:46:26,3921,2.1049270629882812,0,476344320,1084,816
12:46:27,3510,2.105785369873047,0,476344320,1084,816
12:46:28,3510,2.105785369873047,0,476344320,1084,816
12:46:29,3214,2.10711669921875,0,476344320,1084,816
12:46:30,3045,2.1070709228515625,0,511795200,1084,816
12:46:31,2621,2.1078147888183594,0,600489984,1084,816
12:46:32,2621,2.1078147888183594,0,600489984,1084,816
12:46:33,2442,2.1081581115722656,0,600489984,1084,816
12:46:34,2457,2.1375999450683594,122880,600489984,1084,816
12:46:35,2457,2.1375999450683594,122880,600489984,1084,816
12:46:36,2280,2.13812255859375,122880,779542528,1084,816
12:46:37,2397,2.1843109130859375,122880,1324126208,1084,816
12:46:38,2099,2.184459686279297,122880,1873170432,1084,816
12:46:39,2315,2.1842384338378906,122880,2318737408,1084,816
12:46:40,2315,2.1842384338378906,122880,2318737408,1084,816
12:46:41,2307,2.1853256225585938,122880,2621403136,1084,816
12:46:42,2232,2.1871871948242188,126976,2713489408,1084,816
12:46:43,2232,2.1871871948242188,126976,2713489408,1084,816
12:46:44,2357,2.187511444091797,126976,2713489408,1084,816
12:46:45,2478,2.1885452270507812,126976,2713489408,1084,816
12:46:46,2105,2.2308921813964844,126976,2713489408,1084,816
12:46:47,2105,2.2308921813964844,126976,2713489408,1084,816
12:46:48,987,2.2305870056152344,126976,2713489408,1084,816
12:46:49,987,2.2305870056152344,126976,2713489408,1084,816
12:46:50,513,2.2302818298339844,126976,2713489408,1084,886
12:46:51,1576,2.231189727783203,126976,2713489408,1084,886
12:46:52,2185,2.231311798095703,139264,2713489408,1084,886
12:46:53,2185,2.231311798095703,139264,2713489408,1084,886
12:46:54,513,2.2312355041503906,139264,2713489408,1154,886
12:46:55,513,2.2312355041503906,139264,2713489408,1154,886
12:46:56,1315,2.23187255859375,139264,2713489408,1154,886
12:46:57,475,2.231609344482422,139264,2713493504,1154,886
12:46:58,409,2.2317123413085938,139264,2713493504,1154,886
12:46:59,426,2.231731414794922,139264,2713493504,1240,886
12:47:00,426,2.231731414794922,139264,2713493504,1240,886
12:47:01,423,2.2314796447753906,139264,2713493504,1240,886
12:47:02,466,2.2311935424804688,139264,2748522496,1240,886
12:47:03,266,2.2310447692871094,139264,2748522496,1240,886
12:47:04,584,2.231006622314453,139264,2748522496,1240,886
12:47:05,584,2.231006622314453,139264,2748522496,1240,886
12:47:06,206,2.2307662963867188,139264,2748522496,1240,886
12:47:07,173,2.2307662963867188,139264,2748522496,1240,886
12:47:08,173,2.2307662963867188,139264,2748522496,1240,886
12:47:09,120,2.2306671142578125,139264,2748522496,1240,886
12:47:10,190,2.2307205200195312,139264,2748522496,1240,886
12:47:11,224,2.230621337890625,139264,2748522496,1240,886
12:47:12,224,2.230621337890625,139264,2748522496,1240,886
12:47:13,130,2.230571746826172,139264,3310673920,1240,886
12:47:14,314,2.230571746826172,139264,3460485120,1240,886
12:47:15,314,2.230571746826172,139264,3460485120,1240,886
12:47:16,348,2.2305755615234375,139264,3460485120,1240,886
12:47:17,348,2.2305755615234375,139264,3460485120,1240,886
12:47:18,199,2.230480194091797,139264,3460485120,1240,886
12:47:19,120,2.230426788330078,139264,3460485120,1240,886
12:47:20,56,2.2304229736328125,139264,3460485120,1240,886
12:47:21,56,2.2304229736328125,139264,3460485120,1240,886
